,,,,,,,,,
Риск-факторы,,,,,,,,,
,,,,,,,,,
№,ГРУППА,UFR ID,ГРУППА,Short Name,Описание,Группа,Активируется при отсутствии UMF,Что искать в артефакте (Evidence),LLM Audit Prompt
2,ВВОД (Input Surface),UFR-001,ВВОД (Input Surface),FREETEXT_INPUT,"Свободный текстовый ввод без ограничений формата, длины, символов",IN,,"API spec / OpenAPI schema: input field без maxLength, без pattern, без enum; отсутствие JSON Schema валидации на endpoint; UI text input без client-side и server-side ограничений длины. Ref: OWASP LLM01 (Prompt Injection), CWE-20 (Improper Input Validation)","Проанализируй предоставленные артефакты (API spec, код endpoint-ов, UI-компоненты). Найди все точки пользовательского ввода и для каждой определи: (1) есть ли ограничение максимальной длины (maxLength), (2) применяется ли JSON Schema или regex pattern валидация, (3) есть ли whitelist допустимых символов/значений (enum). Перечисли все точки ввода, где хотя бы одно из ограничений отсутствует."
3,ВВОД (Input Surface),UFR-002,ВВОД (Input Surface),MULTIMODAL_INPUT,"Приём мультимодального ввода (изображения, аудио, PDF) с включением содержимого в контекст LLM",IN,,"API spec: endpoint принимает Content-Type image/*, audio/*, application/pdf, multipart/form-data; содержимое мультимодальных файлов передаётся в messages[].content как base64 или binary; парсер извлекает текст/описание и включает в контекст LLM. Ref: OWASP LLM01, MITRE ATLAS AML.T0051 (Adversarial Input via Multimodal)","Проанализируй API-спецификацию и код обработки запросов. Найди все endpoints, которые принимают мультимодальные данные (изображения, аудио, PDF, видео). Для каждого определи: (1) какие Content-Type разрешены, (2) извлекается ли текстовое содержимое из файла (OCR, транскрипция, pdf-to-text), (3) включается ли извлечённый контент в промпт LLM. Перечисли все каналы, через которые мультимодальный контент попадает в контекст модели."
4,ВВОД (Input Surface),UFR-003,ВВОД (Input Surface),FILE_UPLOAD_PARSE,Загрузка файлов с парсингом и включением содержимого в контекст LLM,IN,,"Код: upload handler принимает файлы → parser (PyPDF2, python-docx, pandas.read_csv, openpyxl) → извлечённый текст включается в prompt; нет whitelist допустимых расширений; нет лимита размера файла; парсер может исполнять embedded macros. Ref: OWASP LLM01, CWE-434 (Unrestricted Upload), CWE-502","Проанализируй код загрузки и обработки файлов. Найди: (1) какие типы файлов разрешены к загрузке (есть ли whitelist расширений), (2) какие парсеры используются (PyPDF2, docx, csv, xlsx и др.), (3) передаётся ли результат парсинга в промпт LLM, (4) есть ли лимит размера файла, (5) отключена ли обработка макросов и embedded объектов. Перечисли все найденные upload endpoints и проследи путь данных от загрузки до промпта."
5,ВВОД (Input Surface),UFR-004,ВВОД (Input Surface),MULTI_ENCODING_INPUT,"Допуск множественных кодировок во входных данных (UTF-16, Base64, Unicode escape) без нормализации",IN,,"Код: входные данные передаются в LLM без вызова unicodedata.normalize('NFC') или эквивалента; endpoint принимает Base64, UTF-16, Unicode escape sequences (\u202E, zero-width chars); нет этапа декодирования и канонизации перед обработкой. Ref: OWASP LLM01, CWE-176 (Improper Handling of Unicode Encoding)","Проанализируй pipeline обработки входных данных. Определи: (1) принимает ли система данные в нескольких кодировках (UTF-8, UTF-16, Base64), (2) есть ли этап нормализации Unicode (вызов normalize('NFC') или аналог), (3) фильтруются ли zero-width символы (U+200B, U+FEFF), управляющие символы, RTL override (U+202E). Укажи все точки в коде, где входные данные попадают в LLM без предварительной нормализации кодировки."
6,ВВОД (Input Surface),UFR-005,ВВОД (Input Surface),MULTI_CHANNEL_INPUT,Несколько каналов ввода с разным уровнем валидации,IN,,"Архитектура: несколько input endpoints (REST API, WebSocket, webhook, email gateway, Slack bot, MCP) с разными middleware-стеками и разным набором валидаций; один канал может быть защищён, другой — нет (bypass через менее защищённый канал). Ref: OWASP LLM01, CWE-287 (Improper Authentication)","Составь карту всех каналов ввода данных в систему. Для каждого канала (REST API, WebSocket, webhook, email, Slack, MCP и др.) определи: (1) какие middleware валидации применяются (auth, rate limit, input schema, injection filter), (2) одинаков ли набор проверок для всех каналов, (3) есть ли каналы с ослабленной или отсутствующей валидацией. Выдели каналы, где набор middleware отличается от наиболее защищённого канала."
7,ВВОД (Input Surface),UFR-006,ВВОД (Input Surface),EXTERNAL_DATA_IN_CONTEXT,"Включение внешних данных (web, email, RAG, API, tool output) в контекст LLM без санитизации",IN,,"Код: fetch(url).text / email.body / tool_call.result / rag.retrieve().page_content → включается в prompt или messages[] без вызова sanitize(), strip_instructions(), remove_injection_patterns(); внешний контент не обёрнут в тег <untrusted> и не отделён от системных инструкций. Ref: OWASP LLM01 (Prompt Injection), OWASP LLM02 (Insecure Output Handling)","Проанализируй все источники внешних данных, включаемых в контекст LLM: web fetch, email, RAG retrieval, tool output, API responses, пользовательские документы. Для каждого источника определи: (1) есть ли санитизация контента перед включением в промпт (strip_instructions, remove patterns), (2) маркируется ли внешний контент как untrusted, (3) разделяется ли внешний контент от системных инструкций. Перечисли все пути, по которым несанитизированные внешние данные попадают в контекст модели."
11,ВВОД (Input Surface),UFR-010,ВВОД (Input Surface),HIDDEN_CONTENT_PASSTHROUGH,"Парсинг документов без удаления скрытого контента (невидимый текст, комментарии)",IN,UMF-005,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
12,ВВОД (Input Surface),UFR-011,ВВОД (Input Surface),STREAMING_NO_BUFFER,Потоковая генерация без буферизации/фильтрации перед отправкой,IN,UMF-015,"Код: stream=True в вызове LLM API; каждый chunk передаётся клиенту через SSE/WebSocket напрямую без промежуточного буфера; нет возможности отфильтровать токсичный/утечный контент до отправки пользователю. Ref: OWASP LLM02 (Insecure Output Handling), OWASP LLM06 (Sensitive Information Disclosure)","Найди в коде все места использования streaming-ответов от LLM. Определи: (1) используется ли stream=True / streaming mode, (2) передаются ли chunks напрямую клиенту (SSE, WebSocket) без буферизации, (3) есть ли промежуточный фильтр/буфер, проверяющий контент перед отправкой пользователю (leak detection, toxicity check, PII masking)."
14,ПРОМПТ (Prompt Engineering),UFR-012,ПРОМПТ (Prompt Engineering),FLAT_PROMPT_CONCAT,"Конкатенация системного промпта, внешнего контента и ввода без структурного разделения",PROMPT,UMF-103,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
15,ПРОМПТ (Prompt Engineering),UFR-013,ПРОМПТ (Prompt Engineering),UNLOCKED_SYSTEM_PROMPT,"System prompt допускающий переопределение целей, смену роли и произвольную обработку внешних данных",PROMPT,UMF-007,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
