,,,,,,,,
Группа,TTT,ГРУППА,UMF ID,Short Name,Описание,Группа,При отсутствии активирует UFR,Evidence — что искать
ВАЛИДАЦИЯ ВВОДА (Input Validation),UMF-001,ВАЛИДАЦИЯ ВВОДА (Input Validation),INPUT_SCHEMA_VALIDATION,"Валидация входных данных по JSON-схеме, ограничение длины, enum","DPI:MF-01, DPI:MF-02, DPI:MF-03, LEAK:MF-02, TOXIC:MF-01, TOXIC:MF-02",,"Код: middleware / decorator с JSON Schema validation (jsonschema.validate, Zod, Pydantic) на каждом input endpoint; maxLength задан для текстовых полей; enum для categorical; regex pattern для structured input. Ref: OWASP ASVS V5, CWE-20","Найди все точки валидации входных данных. Для каждого input endpoint проверь: (1) применяется ли JSON Schema / Pydantic / Zod валидация, (2) задан ли maxLength для текстовых полей, (3) используется ли enum для categorical значений, (4) применяется ли regex pattern. Перечисли endpoints без валидации."
ВАЛИДАЦИЯ ВВОДА (Input Validation),UMF-002,ВАЛИДАЦИЯ ВВОДА (Input Validation),ENCODING_NORMALIZE,Нормализация кодировок и удаление невидимых / управляющих символов Unicode,"DPI:MF-04, IPI:MF-04",,"Код: вызов unicodedata.normalize('NFC') или эквивалент перед обработкой; фильтрация zero-width символов (U+200B, U+FEFF); удаление control characters; блокировка RTL override (U+202E). Ref: CWE-176, Unicode Security Annex #36","Найди в pipeline обработки ввода этап нормализации кодировок. Проверь: (1) вызывается ли normalize('NFC'), (2) фильтруются ли zero-width символы, (3) удаляются ли control characters, (4) блокируется ли RTL override. Укажи строки кода или их отсутствие."
ВАЛИДАЦИЯ ВВОДА (Input Validation),UMF-003,ВАЛИДАЦИЯ ВВОДА (Input Validation),UNIFIED_INPUT_PIPELINE,Единая входная pipeline валидации для всех каналов,"DPI:MF-05, LEAK:MF-23",,"Архитектура: единый gateway / middleware обрабатывает ВСЕ каналы ввода (REST, WebSocket, webhook, email, Slack, MCP) с одинаковым набором проверок; нет bypass. Ref: OWASP ASVS V5, defense in depth","Составь карту всех каналов ввода и их middleware-стеков. Проверь: (1) проходят ли ВСЕ каналы через единый validation pipeline, (2) идентичен ли набор проверок, (3) есть ли каналы, обходящие общую валидацию."
ВАЛИДАЦИЯ ВВОДА (Input Validation),UMF-004,ВАЛИДАЦИЯ ВВОДА (Input Validation),INPUT_TOXICITY_CLASSIFIER,Классификатор токсичности / injection pattern filter на входе,"TOXIC:MF-03, IPI:MF-03, DISINFO:MF-06",,"Код: классификатор / regex filter / ML-модель на входе, проверяющий injection patterns и токсичность; вызывается ДО передачи в LLM; результат: block / flag / sanitize. Ref: OWASP LLM01, NIST AI RMF MANAGE 2.4","Найди этап детекции injection patterns и токсичности на входе. Проверь: (1) какой механизм (regex, ML classifier, LLM-as-judge), (2) вызывается ли ДО передачи в LLM, (3) какие patterns детектируются (jailbreak, role override, ignore instructions), (4) действие при срабатывании."
ВАЛИДАЦИЯ ВВОДА (Input Validation),UMF-005,ВАЛИДАЦИЯ ВВОДА (Input Validation),STRIP_HIDDEN_CONTENT,Удаление скрытого текста и невидимых элементов из документов,"IPI:MF-01, IPI:MF-02",UFR-010,"Код парсера: strip_hidden_text() / remove_invisible() после парсинга документа; удаление: white-on-white text, font-size:0, display:none, hidden metadata, embedded OLE. Ref: OWASP LLM01","Найди в коде парсинга документов этап удаления скрытого контента. Проверь: (1) удаляется ли white-on-white текст, (2) удаляются ли display:none элементы, (3) удаляются ли hidden metadata, (4) обрабатываются ли embedded OLE/macro."
ВАЛИДАЦИЯ ВВОДА (Input Validation),UMF-098,ВАЛИДАЦИЯ ВВОДА (Input Validation),FETCH_DOMAIN_WHITELIST,Whitelist доменов для web fetch,IPI:MF-17,,"Код / конфиг: whitelist доменов для web fetch; блокировка внутренних IP (10.x, 172.16.x, 127.x, 169.254.x); DNS resolve check; timeout. Ref: CWE-918, OWASP LLM01","Найди проверку доменов и URL при web fetch. Проверь: (1) whitelist доменов, (2) блокировка внутренних IP, (3) DNS resolve check перед fetch, (4) timeout и size limit."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-006,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),PROMPT_STRUCTURED_SEPARATION,"Структурированный system prompt с именованными секциями (role, constraints, output_format, safety) и маркировкой границ секций","DPI:MF-06, GH_RCE:MF-03, IPI:MF-05, IPI:MF-06, IPI:MF-07, LEAK:MF-03, TOXIC:MF-04, TOXIC:MF-05",UFR-015,"System prompt: именованные секции с маркерами границ (## Role, ## Constraints, ## Output Format, ## Safety, или XML-теги); каждая секция — только свой тип инструкций. Ref: OWASP LLM01","Проанализируй текст system prompt на наличие структуры. Проверь: (1) именованные секции (Role, Constraints, Output Format, Safety), (2) структурные разделители, (3) каждая секция только свой тип инструкций, (4) нет смешения типов в одном блоке."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-007,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),GOAL_LOCK_INSTRUCTION,"Явное определение целей, goal-lock, запрет смены роли, инструкция о заземлении","DPI:MF-07, GH_RCE:MF-01, HALL:MF-02, KNOW:MF-01, KNOW:MF-25",UFR-013,"System prompt: явный goal-lock, запрет смены роли, инструкция игнорировать override-попытки, заземление на источники данных. Ref: OWASP LLM01","Проанализируй system prompt на goal-lock. Проверь: (1) явное определение цели/задачи, (2) запрет смены роли, (3) инструкция игнорировать override-попытки, (4) заземление на источники данных. Укажи конкретные фразы."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-008,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),SECRETS_EXTERNALIZE,Вынос конфиденциальных данных из промпта в secrets manager,"DPI:MF-08, LEAK:MF-04",,"Код / конфиг: секреты в secrets manager (Vault, AWS SM, GCP SM); подставляются через ссылки; в промпте нет plaintext credentials. Ref: CWE-798, OWASP LLM06","Проверь system prompt и шаблоны на встроенные секреты. Убедись: (1) нет API-ключей, паролей, токенов в plaintext, (2) используются ссылки на secrets manager, (3) нет connection strings с credentials."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-009,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),PII_MASKING_PRE_LLM,Маскирование PII в промпте перед отправкой в LLM,LEAK:MF-01,,"Код: mask_pii() / anonymize() перед формированием промпта; маскировка email, телефонов, ФИО, SSN; regex или NER для детекции. Ref: OWASP LLM06, GDPR Art. 25","Найди этап маскирования PII перед отправкой в LLM. Проверь: (1) вызов mask_pii() / anonymize(), (2) типы PII (email, телефон, ФИО, SSN, кредитные карты), (3) механизм детекции (regex, NER), (4) обратимость маскирования."
